COU,Domain,Measure,Scope,Year,Value
AUS,Terrestrial,Percent of total land/EEZ area,Country,1950,0.6356738646
AUS,Terrestrial,Percent of total land/EEZ area,Country,1960,0.6390035566
AUS,Terrestrial,Percent of total land/EEZ area,Country,1970,1.100295299
AUS,Terrestrial,Percent of total land/EEZ area,Country,1980,2.84802681
AUS,Terrestrial,Percent of total land/EEZ area,Country,1985,3.470388902
AUS,Terrestrial,Percent of total land/EEZ area,Country,1990,5.120705938
AUS,Terrestrial,Percent of total land/EEZ area,Country,1995,6.205882384
AUS,Terrestrial,Percent of total land/EEZ area,Country,2000,7.168500284
AUS,Terrestrial,Percent of total land/EEZ area,Country,2001,7.211582254
AUS,Terrestrial,Percent of total land/EEZ area,Country,2002,8.731705538
AUS,Terrestrial,Percent of total land/EEZ area,Country,2003,8.857908556
AUS,Terrestrial,Percent of total land/EEZ area,Country,2004,8.989352109
AUS,Terrestrial,Percent of total land/EEZ area,Country,2005,9.176163449
AUS,Terrestrial,Percent of total land/EEZ area,Country,2006,9.396705407
AUS,Terrestrial,Percent of total land/EEZ area,Country,2007,10.27405358
AUS,Terrestrial,Percent of total land/EEZ area,Country,2008,10.45484676
AUS,Terrestrial,Percent of total land/EEZ area,Country,2009,11.14512594
AUS,Terrestrial,Percent of total land/EEZ area,Country,2010,11.46112723
AUS,Terrestrial,Percent of total land/EEZ area,Country,2011,12.27406638
AUS,Terrestrial,Percent of total land/EEZ area,Country,2012,13.95680711
AUS,Terrestrial,Percent of total land/EEZ area,Country,2013,15.55184963
AUS,Terrestrial,Percent of total land/EEZ area,Country,2014,16.89068424
AUS,Terrestrial,Percent of total land/EEZ area,Country,2015,18.27716517
AUS,Terrestrial,Percent of total land/EEZ area,Country,2016,19.0224752
AUS,Terrestrial,Percent of total land/EEZ area,Country,2017,19.27703691
AUS,Terrestrial,Percent of total land/EEZ area,Country,2018,19.37882219
AUS,Terrestrial,Percent of total land/EEZ area,Country,2019,19.38167621
AUS,Terrestrial,Percent of total land/EEZ area,Country,2020,20.33939401
AUS,Terrestrial,Percent of total land/EEZ area,Country,2021,20.33939401
AUT,Terrestrial,Percent of total land/EEZ area,Country,1950,0.6499565623
AUT,Terrestrial,Percent of total land/EEZ area,Country,1960,5.967909735
AUT,Terrestrial,Percent of total land/EEZ area,Country,1970,6.787541427
AUT,Terrestrial,Percent of total land/EEZ area,Country,1980,8.716925684
AUT,Terrestrial,Percent of total land/EEZ area,Country,1985,14.61147399
AUT,Terrestrial,Percent of total land/EEZ area,Country,1990,16.20343855
AUT,Terrestrial,Percent of total land/EEZ area,Country,1995,17.62562073
AUT,Terrestrial,Percent of total land/EEZ area,Country,2000,21.81057115
AUT,Terrestrial,Percent of total land/EEZ area,Country,2001,22.40561389
AUT,Terrestrial,Percent of total land/EEZ area,Country,2002,23.64892097
AUT,Terrestrial,Percent of total land/EEZ area,Country,2003,23.97432827
